system:index,DATE_ACQUIRED,NDSI_mean,SPACECRAFT_ID,Trat_1,polygon_id,.geo
00000000000000000081_1_1_LT05_200034_19960727,1996-07-27,-0.33247674843639635,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19961015,1996-10-15,-0.3119592616036026,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19961202,1996-12-02,-0.4330637208038854,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19970103,1997-01-03,0.11907699123844977,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19970220,1997-02-20,-0.20287147708994444,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19970324,1997-03-24,-0.30728480548058207,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19971221,1997-12-21,0.35209357131794444,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19980106,1998-01-06,-0.23973038586350248,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19980122,1998-01-22,-0.3592708122604207,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19980207,1998-02-07,0.553913118583138,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19980223,1998-02-23,-0.26865233233081287,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19980412,1998-04-12,0.4822911832686327,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19980428,1998-04-28,0.1525221468885304,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19980514,1998-05-14,0.2708841225080002,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19980919,1998-09-19,-0.33027436154084,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19990109,1999-01-09,0.2965509022561342,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19990125,1999-01-25,0.7266149987942626,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19990226,1999-02-26,0.3712353760449329,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19990330,1999-03-30,-0.10890587353915811,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19990415,1999-04-15,-0.312786492923405,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_19991125,1999-11-25,0.5377913811226376,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_19991211,1999-12-11,-0.2976649309599652,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20000128,2000-01-28,0.314697292505992,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20000823,2000-08-23,0.45844938103512883,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20010114,2001-01-14,0.6649053027957786,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20010319,2001-03-19,-0.2781091590808978,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20020322,2002-03-22,-0.17787242000869014,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20040123,2004-01-23,-0.231775379244216,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20040311,2004-03-11,-0.2336492693462187,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20041224,2004-12-24,-0.26373776801686355,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20050125,2005-01-25,-0.1497652041020945,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20050226,2005-02-26,0.06118585642421956,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20060213,2006-02-13,0.6792993850155935,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20061230,2006-12-30,0.4470275434060924,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20080322,2008-03-22,-0.4116923146287327,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20080423,2008-04-23,-0.36699712791336303,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20090309,2009-03-09,0.5391401593440897,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20090325,2009-03-25,-0.4732492694657592,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20090512,2009-05-12,-0.44349348174266734,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20090528,2009-05-28,-0.4475937546206448,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20090917,2009-09-17,0.0,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20091206,2009-12-06,-0.509189337972818,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20100515,2010-05-15,-0.44682728375414105,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20110110,2011-01-10,-0.1958150555741407,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
